run,operation,started,time,status,label,blocker,dataset,gpu,model,postprune_epochs,preprune_epochs,pruner,sparsity,step,Accuracy/postprune,Accuracy/preprune,Loss/postprune,Loss/preprune,Sparsity,best_post_acc,best_post_loss,best_pre_acc,best_pre_loss,immediate_post_acc,immediate_post_loss
a0d944fa,main.py,2022-05-23 15:48:40,2:23:32,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,relative_error,0.985,160,0.8863999843597412,0.926800012588501,0.4677216708660126,0.3557250499725342,0.9794999957084656,0.8877999782562256,0.384883314371109,0.9283000230789185,0.3271828293800354,0.10000000149011612,2.323286533355713
5320e1df,main.py,2022-05-23 15:48:40,2:22:53,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,relative_error,0.988,160,0.8719000220298767,0.9314000010490417,0.47127145528793335,0.3358827531337738,0.9836999773979187,0.8765000104904175,0.42992115020751953,0.9319000244140625,0.3066903054714203,0.10000000149011612,2.3094093799591064
eb16473f,main.py,2022-05-23 15:48:38,2:30:35,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,alignment_output,0.895,160,0.9330999851226807,0.9326000213623047,0.2963559925556183,0.3332388997077942,0.8565999865531921,0.9334999918937683,0.29379868507385254,0.9329000115394592,0.3029240369796753,0.7688000202178955,0.7631455659866333
109a747d,main.py,2022-05-23 15:48:37,2:34:25,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,alignment_output,0.935,160,0.9309999942779541,0.9334999918937683,0.31499892473220825,0.3340958058834076,0.9156000018119812,0.9319000244140625,0.31499892473220825,0.9340000152587891,0.31809335947036743,0.11940000206232071,2.741286277770996
b1b23c7e,main.py,2022-05-23 15:48:37,2:31:39,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,alignment_output,0.965,160,0.9229000210762024,0.9316999912261963,0.35696861147880554,0.3294084668159485,0.9599000215530396,0.923799991607666,0.3231334388256073,0.9320999979972839,0.3194660246372223,0.10000000149011612,2.3561196327209473
3df1bff3,main.py,2022-05-23 15:48:36,2:34:45,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,alignment_output,0.985,160,0.9003999829292297,0.9351000189781189,0.4100807011127472,0.3234323561191559,0.9864000082015991,0.90420001745224,0.34564661979675293,0.9351000189781189,0.2936145067214966,0.10000000149011612,2.3156802654266357
9bcff92f,main.py,2022-05-23 15:48:36,2:31:17,completed,vgg16_cifar10,square,cifar10,cuda,vgg16,160,160,alignment_output,0.988,160,0.8899000287055969,0.9319000244140625,0.41831183433532715,0.32269856333732605,0.9898999929428101,0.8935999870300293,0.3693748712539673,0.9319000244140625,0.2963223159313202,0.10000000149011612,2.3147013187408447
5991b37c,main.py,2022-05-23 10:01:12,1:44:33,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.89,160,0.10000000149011612,0.9294999837875366,2.3025856018066406,0.33756372332572937,0.9368000030517578,0.10000000149011612,2.3024938106536865,0.9298999905586243,0.3195924758911133,0.10000000149011612,2.340956211090088
b9b534e0,main.py,2022-05-23 10:00:35,2:06:21,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.93,160,0.10000000149011612,0.9330999851226807,2.3025808334350586,0.3280772566795349,0.9621999859809875,0.10000000149011612,2.3024885654449463,0.9340999722480774,0.31561243534088135,0.10000000149011612,2.311424493789673
5013d2af,main.py,2022-05-23 09:59:57,1:44:51,completed,vgg16_cifar10,none,cifar10,cuda,vgg16,160,160,magnitude,0.96,160,0.10000000149011612,0.9330000281333923,2.302586317062378,0.3250744342803955,0.9793999791145325,0.10000000149011612,2.3025288581848145,0.9334999918937683,0.30596229434013367,0.10000000149011612,2.3128838539123535
